[000100] 0100 00     NOP            AF=01b0 BC=0013 DE=00d8 HL=014d SP=fffe P1=004000 vc=0 bi
[000101] 0101 C35001 JP 0150h       AF=01b0 BC=0013 DE=00d8 HL=014d SP=fffe P1=004000 vc=0 bi
[000150] 0150 C38B02 JP 028Bh       AF=01b0 BC=0013 DE=00d8 HL=014d SP=fffe P1=004000 vc=0 bi
[00028b] 028b AF     XOR A          AF=01b0 BC=0013 DE=00d8 HL=014d SP=fffe P1=004000 vc=0 bi
[00028c] 028c 21FFDF LD HL,DFFFh    AF=0080 BC=0013 DE=00d8 HL=014d SP=fffe P1=004000 vc=0 bi
[00028f] 028f 0E10   LD C,10h       AF=0080 BC=0013 DE=00d8 HL=dfff SP=fffe P1=004000 vc=0 bi
[000291] 0291 0600   LD B,00h       AF=0080 BC=0010 DE=00d8 HL=dfff SP=fffe P1=004000 vc=0 bi
[000293] 0293 32     LDD (HL),A     AF=0080 BC=0010 DE=00d8 HL=dfff SP=fffe P1=004000 vc=0 bi
[000294] 0294 05     DEC B          AF=0080 BC=0010 DE=00d8 HL=dffe SP=fffe P1=004000 vc=0 bi
[000295] 0295 20FC   JR NZ,0293h    AF=0060 BC=ff10 DE=00d8 HL=dffe SP=fffe P1=004000 vc=0 Bi
[000297] 0297 0D     DEC C          AF=00c0 BC=0010 DE=00d8 HL=deff SP=fffe P1=004000 vc=13 bi
[000298] 0298 20F9   JR NZ,0293h    AF=0060 BC=000f DE=00d8 HL=deff SP=fffe P1=004000 vc=13 bi
[00029a] 029a 3E01   LD A,01h       AF=00c0 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 Bi
[00029c] 029c F3     DI             AF=01c0 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 Bi
[00029d] 029d E00F   LD (FF0Fh),A   AF=01c0 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 Bi
[00029f] 029f E0FF   LD (FFFFh),A   AF=01c0 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 Bi
[0002a1] 02a1 AF     XOR A          AF=01c0 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 BI
[0002a2] 02a2 E042   LD (FF42h),A   AF=0080 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 BI
[0002a4] 02a4 E043   LD (FF43h),A   AF=0080 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 BI
[0002a6] 02a6 E0A4   LD (FFA4h),A   AF=0080 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 BI
[0002a8] 02a8 E041   LD (FF41h),A   AF=0080 BC=0000 DE=00d8 HL=cfff SP=fffe P1=004000 vc=62 BI
